Work no.,Title,Author,Genre,PDF,Unicode
686,ரங்கோன் ராதா (நாவல்),அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),நாவல் - புதினம்,pm0686.pdf,pmuni0686.html
687,சான்றோர் தமிழ்,சி. பாலசுப்பிரமணியன் (சிற்பி),இலக்கியக் கட்டுரைகள்,pm0687.pdf,pmuni0687.html
688,இந்திய சமுதாய வரலாற்றில் பெண்மை,ராஜம் கிருஷ்ணன்,ஆராய்ச்சிக் கட்டுரைகள்,pm0688.pdf,pmuni0688.html
689,திருவள்ளுவர் ஆய்வுக்கான ஓர் அறிமுகம் சொற்பொழிவு - ஆங்கிலத்தில்,ஔவை துரைசாமி பிள்ளை,சொற்பொழிவு,pm0689.pdf,pmuni0689.html
690,குமரிக்கோட்டம்,அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),குறுநாவல்,pm0690.pdf,pmuni0690.html
691,கோடுகளும் கோலங்களும்,ராஜம் கிருஷ்ணன்,சமூக நாவல்,pm0691.pdf,pmuni0691.html
692,உத்தரகாண்டம்,ராஜம் கிருஷ்ணன்,சமூக நாவல்,pm0692.pdf,pmuni0692.html
693,ஞானக் குறவஞ்சி,பதிப்பாசிரியர் : வீ. சொக்கலிங்கம்,பிரபந்தம் - குறவஞ்சி,pm0693.pdf,pmuni0693.html
694,எறிபத்த நாயனார் சரித்திரக் கீர்த்தனை,வெங்கடசுப்பையர்,பிரபந்தம் - கீர்த்தனை,pm0694.pdf,pmuni0694.html
695,செய்யுளிலக்கணம் - கத்தியரூபம்,பூவை - கலியாணசுந்தர முதலியார்,இலக்கணம்,pm0695.pdf,pmuni0695.html
696,செவ்வாழை முதலிய 4 சிறுகதைகள்,அறிஞர் அண்ணா (க. நா. அண்ணாதுரை),சிறுகதைகள்,pm0696.pdf,pmuni0696.html
697,சிறு கதைகள் நான்கு,அறிஞர் அண்ணா (க. நா. அண்ணாதுரை),சிறுகதைகள்,pm0697.pdf,pmuni0697.html
698,சந்திரோதயம்,அறிஞர் அண்ணா (க. நா. அண்ணாதுரை),நாடகம்,pm0698.pdf,pmuni0698.html
699,கலைஞரின் சிறுகதைகள் short stories,கலைஞர் மு. கருணாநிதி /ராஜா Kalaignar Karunanidhi,சிறுகதைகள் -ஆங்கில மொழிபெயர்ப்பு English Translation,pm0699.pdf,pmuni0699.html
700,வர்ணாஸ்ரமம்,அறிஞர் அண்ணா (க. நா. அண்ணாதுரை),கட்டுரைகள்,pm0700.pdf,pmuni0700.html
701,வாலைக் கும்மி,பதிப்பு இர. குமரவேல்,பிரபந்தம் - கும்மி,pm0701.pdf,pmuni0701.html
702,"ஸ்ரீ குமரகுருபரஸ்வாமிகள் சரித்திரம் ""பிரபந்தத்திரட்டு"" பகுதி 34 (3409-3750)",தி. மீனாட்சிசுந்தரம் பிள்ளை,பிரபந்தத் திரட்டு,pm0702.pdf,pmuni0702.html
703,"ஸ்ரீ சிவஞானயோகிகள் சரித்திரம் ""பிரபந்தத்திரட்டு"" பகுதி 35 (3751- 3953)",தி. மீனாட்சிசுந்தரம் பிள்ளை,பிரபந்தத் திரட்டு,pm0703.pdf,pmuni0703.html
704,"சித்திரச்சத்திரப் புகழ்ச்சிமாலை  ""பிரபந்தத்திரட்டு"" பகுதி 36 (3954-4159)",தி. மீனாட்சிசுந்தரம் பிள்ளை,பிரபந்தத் திரட்டு /மாலை,pm0704.pdf,pmuni0704.html
705 -1,கச்சியப்பமுனிவர் பிரபந்தங்கள் - பகுதி 1 1. பிரமீசர் பதிற்றுப்பத்தந்தாதி  2. கச்சி ஆனந்தருத்திரேசர் பதிற்றுப்பத்தந்தாதி  3. கச்சி ஆனந்தருத்திரேசர் கழிநெடில்,கச்சியப்ப முனிவர்,பிரபந்தம் - பதிற்றுப்பத்தந்தாதி,pm0705.pdf,pmuni0705_01.html
705 -2,கச்சியப்பமுனிவர் பிரபந்தங்கள் - பகுதி 2 4. கச்சி ஆனந்தருத்திரேசர் வண்டு விடு தூது  5. பஞ்சாக்கரதேசிகரந்தாதி. (குறிப்புரையுடன்),கச்சியப்ப முனிவர்,"பிரபந்தம் - அந்தாதி, தூது",pm0705.pdf,pmuni0705_02.html
706,கச்சியப்பமுனிவர் பிரபந்தங்கள் - பகுதி 3 6. திருத்தணிகைப் பதிற்றுப்பத்தந்தாதி.  7. திருத்தணிகையாற்றுப்படை (உரையுடன்),கச்சியப்ப முனிவர்,"பிரபந்தம் - அந்தாதி, ஆற்றுப்படை",pm0706.pdf,pmuni0706.html
707,திருநெல்வேலி காந்திமதியம்மை பிள்ளைத்தமிழ்,வ. அழகியசொக்கநாத பிள்ளை,பிரபந்தம் - பிள்ளைத்தமிழ்,pm0707.pdf,pmuni0707.html
